AddressofRecordZIPCode,SnapshotDate,PrimaryAreaOfPractice,CountOfLicensees
90002,6/1/2019,Infectious Disease,0
90002,6/1/2019,Endocrinology,0
90002,6/1/2019,All Other Specialties,0
90002,6/1/2019,No Response,0
90003,6/1/2019,Internal Medicine,3
90003,6/1/2019,Family Medicine,4
90003,6/1/2019,Pediatrics,2
90003,6/1/2019,Psychiatry,0
90003,6/1/2019,Anesthesiology,0
90003,6/1/2019,Radiology,0
90003,6/1/2019,Emergency Medicine,0
90003,6/1/2019,Obstetrics and Gynecology,0
90003,6/1/2019,Cardiology,0
90003,6/1/2019,Orthopedic Surgery,0
90003,6/1/2019,Ophthalmology,0
90003,6/1/2019,Pathology,0
90003,6/1/2019,General Surgery,0
90003,6/1/2019,Dermatology,0
90003,6/1/2019,Gastroenterology,0
90003,6/1/2019,General Practice,0
90003,6/1/2019,Neurology,0
90003,6/1/2019,Oncology,0
90003,6/1/2019,Otolaryngology,0
90003,6/1/2019,Urology,0
90003,6/1/2019,Plastic Surgery,0
90003,6/1/2019,Nephrology,0
90003,6/1/2019,Pulmonary,0
90003,6/1/2019,Physical Medicine and Rehabilitation,0
90003,6/1/2019,Infectious Disease,1
90003,6/1/2019,Endocrinology,0
90003,6/1/2019,All Other Specialties,0
90003,6/1/2019,No Response,2
90004,6/1/2019,Internal Medicine,13
90004,6/1/2019,Family Medicine,1
90004,6/1/2019,Pediatrics,7
90004,6/1/2019,Psychiatry,7
90004,6/1/2019,Anesthesiology,3
90004,6/1/2019,Radiology,2
90004,6/1/2019,Emergency Medicine,0
90004,6/1/2019,Obstetrics and Gynecology,3
90004,6/1/2019,Cardiology,2
90004,6/1/2019,Orthopedic Surgery,2
90004,6/1/2019,Ophthalmology,3
90004,6/1/2019,Pathology,0
90004,6/1/2019,General Surgery,0
90004,6/1/2019,Dermatology,5
90004,6/1/2019,Gastroenterology,3
90004,6/1/2019,General Practice,4
90004,6/1/2019,Neurology,1
90004,6/1/2019,Oncology,0
90004,6/1/2019,Otolaryngology,1
90004,6/1/2019,Urology,0
90004,6/1/2019,Plastic Surgery,0
90004,6/1/2019,Nephrology,3
90004,6/1/2019,Pulmonary,0
90004,6/1/2019,Physical Medicine and Rehabilitation,1
90004,6/1/2019,Infectious Disease,0
90004,6/1/2019,Endocrinology,0
90004,6/1/2019,All Other Specialties,9
90004,6/1/2019,No Response,13
90005,6/1/2019,Internal Medicine,4
90005,6/1/2019,Family Medicine,4
90005,6/1/2019,Pediatrics,3
90005,6/1/2019,Psychiatry,3
90005,6/1/2019,Anesthesiology,1
90005,6/1/2019,Radiology,1
90005,6/1/2019,Emergency Medicine,0
90005,6/1/2019,Obstetrics and Gynecology,2
90005,6/1/2019,Cardiology,0
90005,6/1/2019,Orthopedic Surgery,1
90005,6/1/2019,Ophthalmology,0
90005,6/1/2019,Pathology,1
90005,6/1/2019,General Surgery,1
90005,6/1/2019,Dermatology,1
90005,6/1/2019,Gastroenterology,0
90005,6/1/2019,General Practice,0
90005,6/1/2019,Neurology,0
90005,6/1/2019,Oncology,0
90005,6/1/2019,Otolaryngology,0
90005,6/1/2019,Urology,0
90005,6/1/2019,Plastic Surgery,0
90005,6/1/2019,Nephrology,0
90005,6/1/2019,Pulmonary,1
90005,6/1/2019,Physical Medicine and Rehabilitation,0
90005,6/1/2019,Infectious Disease,0
90005,6/1/2019,Endocrinology,0
90005,6/1/2019,All Other Specialties,5
90005,6/1/2019,No Response,3
90006,6/1/2019,Internal Medicine,10
90006,6/1/2019,Family Medicine,8
90006,6/1/2019,Pediatrics,4
90006,6/1/2019,Psychiatry,2
90006,6/1/2019,Anesthesiology,1
90006,6/1/2019,Radiology,1
90006,6/1/2019,Emergency Medicine,0
90006,6/1/2019,Obstetrics and Gynecology,3
90006,6/1/2019,Cardiology,0
90006,6/1/2019,Orthopedic Surgery,0
90006,6/1/2019,Ophthalmology,1
90006,6/1/2019,Pathology,0
90006,6/1/2019,General Surgery,1
90006,6/1/2019,Dermatology,0
90006,6/1/2019,Gastroenterology,0
90006,6/1/2019,General Practice,2
90006,6/1/2019,Neurology,0
90006,6/1/2019,Oncology,0
90006,6/1/2019,Otolaryngology,0
90006,6/1/2019,Urology,0
90006,6/1/2019,Plastic Surgery,2
90006,6/1/2019,Nephrology,0
90006,6/1/2019,Pulmonary,0
90006,6/1/2019,Physical Medicine and Rehabilitation,0
90006,6/1/2019,Infectious Disease,0
90006,6/1/2019,Endocrinology,1
90006,6/1/2019,All Other Specialties,1
90006,6/1/2019,No Response,8
90007,6/1/2019,Internal Medicine,6
90007,6/1/2019,Family Medicine,1
90007,6/1/2019,Pediatrics,2
90007,6/1/2019,Psychiatry,0
90007,6/1/2019,Anesthesiology,0
90007,6/1/2019,Radiology,0
90007,6/1/2019,Emergency Medicine,1
90007,6/1/2019,Obstetrics and Gynecology,2
90007,6/1/2019,Cardiology,0
90007,6/1/2019,Orthopedic Surgery,8
90007,6/1/2019,Ophthalmology,0
90007,6/1/2019,Pathology,0
90007,6/1/2019,General Surgery,0
90007,6/1/2019,Dermatology,0
90007,6/1/2019,Gastroenterology,1
90007,6/1/2019,General Practice,0
90007,6/1/2019,Neurology,0
90007,6/1/2019,Oncology,0
90007,6/1/2019,Otolaryngology,0
90007,6/1/2019,Urology,0
90007,6/1/2019,Plastic Surgery,2
90007,6/1/2019,Nephrology,0
90007,6/1/2019,Pulmonary,0
90007,6/1/2019,Physical Medicine and Rehabilitation,0
90007,6/1/2019,Infectious Disease,2
90007,6/1/2019,Endocrinology,0
90007,6/1/2019,All Other Specialties,4
90007,6/1/2019,No Response,4
90008,6/1/2019,Internal Medicine,4
90008,6/1/2019,Family Medicine,4
90008,6/1/2019,Pediatrics,8
90008,6/1/2019,Psychiatry,14
90008,6/1/2019,Anesthesiology,3
90008,6/1/2019,Radiology,0
90008,6/1/2019,Emergency Medicine,0
90008,6/1/2019,Obstetrics and Gynecology,1
90008,6/1/2019,Cardiology,1
90008,6/1/2019,Orthopedic Surgery,0
90008,6/1/2019,Ophthalmology,3
90008,6/1/2019,Pathology,0
90008,6/1/2019,General Surgery,2
90008,6/1/2019,Dermatology,0
90008,6/1/2019,Gastroenterology,1
90008,6/1/2019,General Practice,1
90008,6/1/2019,Neurology,1
90008,6/1/2019,Oncology,0
90008,6/1/2019,Otolaryngology,0
90008,6/1/2019,Urology,0
90008,6/1/2019,Plastic Surgery,0
90008,6/1/2019,Nephrology,0
90008,6/1/2019,Pulmonary,0
90008,6/1/2019,Physical Medicine and Rehabilitation,0
90008,6/1/2019,Infectious Disease,0
90008,6/1/2019,Endocrinology,0
90008,6/1/2019,All Other Specialties,6
90008,6/1/2019,No Response,4
90009,6/1/2019,Internal Medicine,1
90009,6/1/2019,Family Medicine,4
90009,6/1/2019,Pediatrics,1
90009,6/1/2019,Psychiatry,2
90009,6/1/2019,Anesthesiology,2
90009,6/1/2019,Radiology,0
90009,6/1/2019,Emergency Medicine,0
90009,6/1/2019,Obstetrics and Gynecology,0
90009,6/1/2019,Cardiology,3
90009,6/1/2019,Orthopedic Surgery,1
90009,6/1/2019,Ophthalmology,0
90009,6/1/2019,Pathology,0
90009,6/1/2019,General Surgery,0
90009,6/1/2019,Dermatology,1
90009,6/1/2019,Gastroenterology,0
90009,6/1/2019,General Practice,0
90009,6/1/2019,Neurology,0
90009,6/1/2019,Oncology,0
90009,6/1/2019,Otolaryngology,0
90009,6/1/2019,Urology,0
90009,6/1/2019,Plastic Surgery,0
90009,6/1/2019,Nephrology,0
90009,6/1/2019,Pulmonary,0
90009,6/1/2019,Physical Medicine and Rehabilitation,0
90009,6/1/2019,Infectious Disease,0
90009,6/1/2019,Endocrinology,0
90009,6/1/2019,All Other Specialties,1
90009,6/1/2019,No Response,2
90010,6/1/2019,Internal Medicine,6
90010,6/1/2019,Family Medicine,5
90010,6/1/2019,Pediatrics,1
90010,6/1/2019,Psychiatry,0
90010,6/1/2019,Anesthesiology,4
90010,6/1/2019,Radiology,0
90010,6/1/2019,Emergency Medicine,1
90010,6/1/2019,Obstetrics and Gynecology,4
90010,6/1/2019,Cardiology,1
90010,6/1/2019,Orthopedic Surgery,0
90010,6/1/2019,Ophthalmology,3
90010,6/1/2019,Pathology,0
90010,6/1/2019,General Surgery,1
90010,6/1/2019,Dermatology,1
90010,6/1/2019,Gastroenterology,0
90010,6/1/2019,General Practice,3
90010,6/1/2019,Neurology,0
90010,6/1/2019,Oncology,0
90010,6/1/2019,Otolaryngology,1
90010,6/1/2019,Urology,0
90010,6/1/2019,Plastic Surgery,3
90010,6/1/2019,Nephrology,0
90010,6/1/2019,Pulmonary,0
90010,6/1/2019,Physical Medicine and Rehabilitation,0
90010,6/1/2019,Infectious Disease,0
90010,6/1/2019,Endocrinology,1
90010,6/1/2019,All Other Specialties,16
90010,6/1/2019,No Response,6
90011,6/1/2019,Internal Medicine,1
90011,6/1/2019,Family Medicine,4
90011,6/1/2019,Pediatrics,1
90011,6/1/2019,Psychiatry,0
90011,6/1/2019,Anesthesiology,0
90011,6/1/2019,Radiology,0
90011,6/1/2019,Emergency Medicine,0
90011,6/1/2019,Obstetrics and Gynecology,0
90011,6/1/2019,Cardiology,0
90011,6/1/2019,Orthopedic Surgery,0
90011,6/1/2019,Ophthalmology,0
90011,6/1/2019,Pathology,0
90011,6/1/2019,General Surgery,0
90011,6/1/2019,Dermatology,0
90011,6/1/2019,Gastroenterology,0
90011,6/1/2019,General Practice,0
90011,6/1/2019,Neurology,0
90011,6/1/2019,Oncology,0
90011,6/1/2019,Otolaryngology,0
90011,6/1/2019,Urology,0
90011,6/1/2019,Plastic Surgery,0
90011,6/1/2019,Nephrology,0
90011,6/1/2019,Pulmonary,0
90011,6/1/2019,Physical Medicine and Rehabilitation,0
90011,6/1/2019,Infectious Disease,0
90011,6/1/2019,Endocrinology,0
90011,6/1/2019,All Other Specialties,1
90011,6/1/2019,No Response,0
90012,6/1/2019,Internal Medicine,35
90012,6/1/2019,Family Medicine,9
90012,6/1/2019,Pediatrics,2
90012,6/1/2019,Psychiatry,21
90012,6/1/2019,Anesthesiology,5
90012,6/1/2019,Radiology,3
90012,6/1/2019,Emergency Medicine,1
90012,6/1/2019,Obstetrics and Gynecology,1
90012,6/1/2019,Cardiology,3
90012,6/1/2019,Orthopedic Surgery,0
90012,6/1/2019,Ophthalmology,4
90012,6/1/2019,Pathology,0
90012,6/1/2019,General Surgery,3
90012,6/1/2019,Dermatology,0
90012,6/1/2019,Gastroenterology,2
90012,6/1/2019,General Practice,8
90012,6/1/2019,Neurology,0
90012,6/1/2019,Oncology,0
90012,6/1/2019,Otolaryngology,1
90012,6/1/2019,Urology,0
90012,6/1/2019,Plastic Surgery,1
90012,6/1/2019,Nephrology,2
90012,6/1/2019,Pulmonary,1
90012,6/1/2019,Physical Medicine and Rehabilitation,1
90012,6/1/2019,Infectious Disease,3
90012,6/1/2019,Endocrinology,0
90012,6/1/2019,All Other Specialties,15
90012,6/1/2019,No Response,22
90013,6/1/2019,Internal Medicine,2
90013,6/1/2019,Family Medicine,4
90013,6/1/2019,Pediatrics,1
90013,6/1/2019,Psychiatry,2
90013,6/1/2019,Anesthesiology,1
90013,6/1/2019,Radiology,0
90013,6/1/2019,Emergency Medicine,0
90013,6/1/2019,Obstetrics and Gynecology,0
90013,6/1/2019,Cardiology,0
90013,6/1/2019,Orthopedic Surgery,0
90013,6/1/2019,Ophthalmology,6
90013,6/1/2019,Pathology,1
90013,6/1/2019,General Surgery,0
90013,6/1/2019,Dermatology,1
90013,6/1/2019,Gastroenterology,1
90013,6/1/2019,General Practice,1
90013,6/1/2019,Neurology,0
90013,6/1/2019,Oncology,0
90013,6/1/2019,Otolaryngology,0
90013,6/1/2019,Urology,0
90013,6/1/2019,Plastic Surgery,0
90013,6/1/2019,Nephrology,0
90013,6/1/2019,Pulmonary,1
90013,6/1/2019,Physical Medicine and Rehabilitation,0
90013,6/1/2019,Infectious Disease,0
90013,6/1/2019,Endocrinology,0
90013,6/1/2019,All Other Specialties,1
90013,6/1/2019,No Response,9
90014,6/1/2019,Internal Medicine,3
90014,6/1/2019,Family Medicine,2
90014,6/1/2019,Pediatrics,0
90014,6/1/2019,Psychiatry,0
90014,6/1/2019,Anesthesiology,1
90014,6/1/2019,Radiology,1
90014,6/1/2019,Emergency Medicine,1
90014,6/1/2019,Obstetrics and Gynecology,0
90014,6/1/2019,Cardiology,1
90014,6/1/2019,Orthopedic Surgery,0
90014,6/1/2019,Ophthalmology,0
90014,6/1/2019,Pathology,0
90014,6/1/2019,General Surgery,0
90014,6/1/2019,Dermatology,0
90014,6/1/2019,Gastroenterology,0
90014,6/1/2019,General Practice,0
90014,6/1/2019,Neurology,0
90014,6/1/2019,Oncology,0
90014,6/1/2019,Otolaryngology,0
90014,6/1/2019,Urology,0
90014,6/1/2019,Plastic Surgery,0
90014,6/1/2019,Nephrology,0
90014,6/1/2019,Pulmonary,0
90014,6/1/2019,Physical Medicine and Rehabilitation,0
90014,6/1/2019,Infectious Disease,0
90014,6/1/2019,Endocrinology,0
90014,6/1/2019,All Other Specialties,1
90014,6/1/2019,No Response,3
90015,6/1/2019,Internal Medicine,11
90015,6/1/2019,Family Medicine,18
90015,6/1/2019,Pediatrics,10
90015,6/1/2019,Psychiatry,3
90015,6/1/2019,Anesthesiology,2
90015,6/1/2019,Radiology,3
90015,6/1/2019,Emergency Medicine,11
90015,6/1/2019,Obstetrics and Gynecology,7
90015,6/1/2019,Cardiology,4
90015,6/1/2019,Orthopedic Surgery,4
90015,6/1/2019,Ophthalmology,5
90015,6/1/2019,Pathology,1
90015,6/1/2019,General Surgery,4
90015,6/1/2019,Dermatology,0
90015,6/1/2019,Gastroenterology,1
90015,6/1/2019,General Practice,2
90015,6/1/2019,Neurology,0
90015,6/1/2019,Oncology,1
90015,6/1/2019,Otolaryngology,3
90015,6/1/2019,Urology,1
90015,6/1/2019,Plastic Surgery,0
90015,6/1/2019,Nephrology,3
90015,6/1/2019,Pulmonary,0
90015,6/1/2019,Physical Medicine and Rehabilitation,0
90015,6/1/2019,Infectious Disease,1
90015,6/1/2019,Endocrinology,0
90015,6/1/2019,All Other Specialties,5
90015,6/1/2019,No Response,30
90016,6/1/2019,Internal Medicine,0
90016,6/1/2019,Family Medicine,1
90016,6/1/2019,Pediatrics,1
90016,6/1/2019,Psychiatry,1
90016,6/1/2019,Anesthesiology,0
90016,6/1/2019,Radiology,0
90016,6/1/2019,Emergency Medicine,0
90016,6/1/2019,Obstetrics and Gynecology,0
90016,6/1/2019,Cardiology,0
90016,6/1/2019,Orthopedic Surgery,0
90016,6/1/2019,Ophthalmology,0
90016,6/1/2019,Pathology,0
90016,6/1/2019,General Surgery,0
90016,6/1/2019,Dermatology,0
90016,6/1/2019,Gastroenterology,0
90016,6/1/2019,General Practice,0
90016,6/1/2019,Neurology,0
90016,6/1/2019,Oncology,0
90016,6/1/2019,Otolaryngology,0
90016,6/1/2019,Urology,0
90016,6/1/2019,Plastic Surgery,1
90016,6/1/2019,Nephrology,0
90016,6/1/2019,Pulmonary,0
90016,6/1/2019,Physical Medicine and Rehabilitation,0
90016,6/1/2019,Infectious Disease,0
90016,6/1/2019,Endocrinology,0
90016,6/1/2019,All Other Specialties,2
90016,6/1/2019,No Response,3
90017,6/1/2019,Internal Medicine,20
90017,6/1/2019,Family Medicine,6
90017,6/1/2019,Pediatrics,7
90017,6/1/2019,Psychiatry,6
90017,6/1/2019,Anesthesiology,2
90017,6/1/2019,Radiology,0
90017,6/1/2019,Emergency Medicine,3
90017,6/1/2019,Obstetrics and Gynecology,14
90017,6/1/2019,Cardiology,14
90017,6/1/2019,Orthopedic Surgery,5
90017,6/1/2019,Ophthalmology,16
90017,6/1/2019,Pathology,0
90017,6/1/2019,General Surgery,4
90017,6/1/2019,Dermatology,5
90017,6/1/2019,Gastroenterology,3
90017,6/1/2019,General Practice,2
90017,6/1/2019,Neurology,0
90017,6/1/2019,Oncology,3
90017,6/1/2019,Otolaryngology,3
90017,6/1/2019,Urology,4
90017,6/1/2019,Plastic Surgery,1
90017,6/1/2019,Nephrology,2
90017,6/1/2019,Pulmonary,2
90017,6/1/2019,Physical Medicine and Rehabilitation,0
90017,6/1/2019,Infectious Disease,1
90017,6/1/2019,Endocrinology,1
90017,6/1/2019,All Other Specialties,18
90017,6/1/2019,No Response,22
90018,6/1/2019,Internal Medicine,1
90018,6/1/2019,Family Medicine,0
90018,6/1/2019,Pediatrics,0
90018,6/1/2019,Psychiatry,0
90018,6/1/2019,Anesthesiology,0
90018,6/1/2019,Radiology,1
90018,6/1/2019,Emergency Medicine,0
90018,6/1/2019,Obstetrics and Gynecology,0
90018,6/1/2019,Cardiology,0
90018,6/1/2019,Orthopedic Surgery,0
90018,6/1/2019,Ophthalmology,0
90018,6/1/2019,Pathology,0
90018,6/1/2019,General Surgery,0
90018,6/1/2019,Dermatology,0
90018,6/1/2019,Gastroenterology,0
90018,6/1/2019,General Practice,0
90018,6/1/2019,Neurology,0
90018,6/1/2019,Oncology,0
90018,6/1/2019,Otolaryngology,0
90018,6/1/2019,Urology,0
90018,6/1/2019,Plastic Surgery,0
90018,6/1/2019,Nephrology,0
90018,6/1/2019,Pulmonary,0
90018,6/1/2019,Physical Medicine and Rehabilitation,1
90018,6/1/2019,Infectious Disease,0
90018,6/1/2019,Endocrinology,0
90018,6/1/2019,All Other Specialties,1
90018,6/1/2019,No Response,1
90019,6/1/2019,Internal Medicine,4
90019,6/1/2019,Family Medicine,3
90019,6/1/2019,Pediatrics,2
90019,6/1/2019,Psychiatry,1
90019,6/1/2019,Anesthesiology,1
90019,6/1/2019,Radiology,1
90019,6/1/2019,Emergency Medicine,1
90019,6/1/2019,Obstetrics and Gynecology,1
90019,6/1/2019,Cardiology,0
90019,6/1/2019,Orthopedic Surgery,3
90019,6/1/2019,Ophthalmology,1
90019,6/1/2019,Pathology,1
90019,6/1/2019,General Surgery,1
90019,6/1/2019,Dermatology,1
90019,6/1/2019,Gastroenterology,0
90019,6/1/2019,General Practice,2
90019,6/1/2019,Neurology,1
90019,6/1/2019,Oncology,0
90019,6/1/2019,Otolaryngology,0
90019,6/1/2019,Urology,0
90019,6/1/2019,Plastic Surgery,0
90019,6/1/2019,Nephrology,0
90019,6/1/2019,Pulmonary,0
90019,6/1/2019,Physical Medicine and Rehabilitation,0
90019,6/1/2019,Infectious Disease,0
90019,6/1/2019,Endocrinology,0
90019,6/1/2019,All Other Specialties,5
90019,6/1/2019,No Response,9
90020,6/1/2019,Internal Medicine,15
90020,6/1/2019,Family Medicine,2
90020,6/1/2019,Pediatrics,4
90020,6/1/2019,Psychiatry,4
90020,6/1/2019,Anesthesiology,3
90020,6/1/2019,Radiology,1
90020,6/1/2019,Emergency Medicine,2
90020,6/1/2019,Obstetrics and Gynecology,3
90020,6/1/2019,Cardiology,3
90020,6/1/2019,Orthopedic Surgery,4
90020,6/1/2019,Ophthalmology,3
90020,6/1/2019,Pathology,0
90020,6/1/2019,General Surgery,0
90020,6/1/2019,Dermatology,0
90020,6/1/2019,Gastroenterology,5
90020,6/1/2019,General Practice,0
90020,6/1/2019,Neurology,3
90020,6/1/2019,Oncology,0
90020,6/1/2019,Otolaryngology,1
90020,6/1/2019,Urology,1
90020,6/1/2019,Plastic Surgery,3
90020,6/1/2019,Nephrology,1
90020,6/1/2019,Pulmonary,1
90020,6/1/2019,Physical Medicine and Rehabilitation,0
90020,6/1/2019,Infectious Disease,1
90020,6/1/2019,Endocrinology,0
90020,6/1/2019,All Other Specialties,10
90020,6/1/2019,No Response,8
90021,6/1/2019,Internal Medicine,0
90021,6/1/2019,Family Medicine,1
90021,6/1/2019,Pediatrics,0
90021,6/1/2019,Psychiatry,0
90021,6/1/2019,Anesthesiology,0
90021,6/1/2019,Radiology,0
90021,6/1/2019,Emergency Medicine,0
90021,6/1/2019,Obstetrics and Gynecology,1
90021,6/1/2019,Cardiology,0
90021,6/1/2019,Orthopedic Surgery,0
90021,6/1/2019,Ophthalmology,0
90021,6/1/2019,Pathology,0
90021,6/1/2019,General Surgery,0
90021,6/1/2019,Dermatology,0
90021,6/1/2019,Gastroenterology,0
90021,6/1/2019,General Practice,0
90021,6/1/2019,Neurology,0
90021,6/1/2019,Oncology,0
90021,6/1/2019,Otolaryngology,0
90021,6/1/2019,Urology,0
90021,6/1/2019,Plastic Surgery,0
90021,6/1/2019,Nephrology,0
90021,6/1/2019,Pulmonary,0
90021,6/1/2019,Physical Medicine and Rehabilitation,0
90021,6/1/2019,Infectious Disease,0
90021,6/1/2019,Endocrinology,0
90021,6/1/2019,All Other Specialties,0
90021,6/1/2019,No Response,0
90022,6/1/2019,Internal Medicine,12
90022,6/1/2019,Family Medicine,19
90022,6/1/2019,Pediatrics,7
90022,6/1/2019,Psychiatry,3
90022,6/1/2019,Anesthesiology,0
90022,6/1/2019,Radiology,1
90022,6/1/2019,Emergency Medicine,2
90022,6/1/2019,Obstetrics and Gynecology,5
90022,6/1/2019,Cardiology,1
90022,6/1/2019,Orthopedic Surgery,0
90022,6/1/2019,Ophthalmology,2
90022,6/1/2019,Pathology,1
90022,6/1/2019,General Surgery,0
90022,6/1/2019,Dermatology,0
90022,6/1/2019,Gastroenterology,0
90022,6/1/2019,General Practice,3
90022,6/1/2019,Neurology,0
90022,6/1/2019,Oncology,0
90022,6/1/2019,Otolaryngology,0
90022,6/1/2019,Urology,0
90022,6/1/2019,Plastic Surgery,0
90022,6/1/2019,Nephrology,2
90022,6/1/2019,Pulmonary,0
90022,6/1/2019,Physical Medicine and Rehabilitation,0
90022,6/1/2019,Infectious Disease,2
90022,6/1/2019,Endocrinology,0
90022,6/1/2019,All Other Specialties,3
90022,6/1/2019,No Response,7
90023,6/1/2019,Internal Medicine,4
90023,6/1/2019,Family Medicine,7
90023,6/1/2019,Pediatrics,0
90023,6/1/2019,Psychiatry,1
90023,6/1/2019,Anesthesiology,0
90023,6/1/2019,Radiology,0
90023,6/1/2019,Emergency Medicine,0
90023,6/1/2019,Obstetrics and Gynecology,2
90023,6/1/2019,Cardiology,0
90023,6/1/2019,Orthopedic Surgery,0
90023,6/1/2019,Ophthalmology,1
90023,6/1/2019,Pathology,0
90023,6/1/2019,General Surgery,0
90023,6/1/2019,Dermatology,1
90023,6/1/2019,Gastroenterology,0
90023,6/1/2019,General Practice,3
90023,6/1/2019,Neurology,0
90023,6/1/2019,Oncology,0
90023,6/1/2019,Otolaryngology,0
90023,6/1/2019,Urology,0
90023,6/1/2019,Plastic Surgery,0
90023,6/1/2019,Nephrology,0
90023,6/1/2019,Pulmonary,0
90023,6/1/2019,Physical Medicine and Rehabilitation,0
90023,6/1/2019,Infectious Disease,0
90023,6/1/2019,Endocrinology,0
90023,6/1/2019,All Other Specialties,2
90023,6/1/2019,No Response,4
90024,6/1/2019,Internal Medicine,42
90024,6/1/2019,Family Medicine,6
90024,6/1/2019,Pediatrics,10
90024,6/1/2019,Psychiatry,109
90024,6/1/2019,Anesthesiology,13
90024,6/1/2019,Radiology,15
90024,6/1/2019,Emergency Medicine,34
90024,6/1/2019,Obstetrics and Gynecology,16
90024,6/1/2019,Cardiology,10
90024,6/1/2019,Orthopedic Surgery,4
90024,6/1/2019,Ophthalmology,10
90024,6/1/2019,Pathology,10
90024,6/1/2019,General Surgery,4
90024,6/1/2019,Dermatology,3
90024,6/1/2019,Gastroenterology,9
90024,6/1/2019,General Practice,12
90024,6/1/2019,Neurology,5
90024,6/1/2019,Oncology,2
90024,6/1/2019,Otolaryngology,5
90024,6/1/2019,Urology,2
90024,6/1/2019,Plastic Surgery,4
90024,6/1/2019,Nephrology,7
90024,6/1/2019,Pulmonary,2
90024,6/1/2019,Physical Medicine and Rehabilitation,1
90024,6/1/2019,Infectious Disease,4
90024,6/1/2019,Endocrinology,9
90024,6/1/2019,All Other Specialties,44
90024,6/1/2019,No Response,129
90025,6/1/2019,Internal Medicine,28
90025,6/1/2019,Family Medicine,10
90025,6/1/2019,Pediatrics,8
90025,6/1/2019,Psychiatry,70
90025,6/1/2019,Anesthesiology,11
90025,6/1/2019,Radiology,24
90025,6/1/2019,Emergency Medicine,4
90025,6/1/2019,Obstetrics and Gynecology,10
90025,6/1/2019,Cardiology,8
90025,6/1/2019,Orthopedic Surgery,6
90025,6/1/2019,Ophthalmology,11
90025,6/1/2019,Pathology,5
90025,6/1/2019,General Surgery,4
90025,6/1/2019,Dermatology,7
90025,6/1/2019,Gastroenterology,2
90025,6/1/2019,General Practice,6
90025,6/1/2019,Neurology,6
90025,6/1/2019,Oncology,4
90025,6/1/2019,Otolaryngology,3
90025,6/1/2019,Urology,3
90025,6/1/2019,Plastic Surgery,3
90025,6/1/2019,Nephrology,2
90025,6/1/2019,Pulmonary,1
90025,6/1/2019,Physical Medicine and Rehabilitation,7
90025,6/1/2019,Infectious Disease,4
90025,6/1/2019,Endocrinology,1
90025,6/1/2019,All Other Specialties,29
90025,6/1/2019,No Response,61
90026,6/1/2019,Internal Medicine,14
90026,6/1/2019,Family Medicine,2
90026,6/1/2019,Pediatrics,9
90026,6/1/2019,Psychiatry,2
90026,6/1/2019,Anesthesiology,5
90026,6/1/2019,Radiology,1
90026,6/1/2019,Emergency Medicine,3
90026,6/1/2019,Obstetrics and Gynecology,0
90026,6/1/2019,Cardiology,0
90026,6/1/2019,Orthopedic Surgery,1
90026,6/1/2019,Ophthalmology,1
90026,6/1/2019,Pathology,0
90026,6/1/2019,General Surgery,0
90026,6/1/2019,Dermatology,1
90026,6/1/2019,Gastroenterology,2
90026,6/1/2019,General Practice,3
90026,6/1/2019,Neurology,0
90026,6/1/2019,Oncology,3
